dayname,minutes_watched,date_watched,weekday,date_watched_m,date_watched_m_n,student_country
Friday,0.4,2022-10-14,4,10,October,US
Friday,1.4,2022-10-14,4,10,October,IN
Friday,95.1,2022-10-14,4,10,October,US
Friday,0.1,2022-10-14,4,10,October,IN
Friday,0.4,2022-10-14,4,10,October,IN
Friday,0.2,2022-10-14,4,10,October,GB
Friday,3.7,2022-10-14,4,10,October,NG
Saturday,44.4,2022-10-15,5,10,October,GB
Monday,24.7,2022-10-17,0,10,October,GB
Friday,2.3,2022-10-14,4,10,October,GB
Friday,2.0,2022-10-14,4,10,October,IN
Friday,14.1,2022-10-14,4,10,October,NG
Monday,18.9,2022-10-17,0,10,October,GB
Friday,5.3,2022-10-14,4,10,October,EG
Friday,0.3,2022-10-14,4,10,October,IN
Friday,1.0,2022-10-14,4,10,October,IN
Monday,16.8,2022-10-17,0,10,October,GB
Friday,21.5,2022-10-14,4,10,October,GB
Saturday,10.2,2022-10-15,5,10,October,GB
Thursday,18.3,2022-10-20,3,10,October,GB
Thursday,32.2,2022-10-20,3,10,October,NG
Friday,8.9,2022-10-14,4,10,October,NG
Friday,8.6,2022-10-14,4,10,October,NG
Thursday,23.1,2022-10-20,3,10,October,NG
Friday,2.3,2022-10-14,4,10,October,US
Friday,0.1,2022-10-14,4,10,October,EG
Friday,7.7,2022-10-14,4,10,October,IN
Saturday,0.5,2022-10-15,5,10,October,IN
Sunday,0.4,2022-10-16,6,10,October,IN
Friday,0.1,2022-10-14,4,10,October,IN
Saturday,17.7,2022-10-15,5,10,October,EG
Friday,4.4,2022-10-14,4,10,October,EG
Friday,1.0,2022-10-14,4,10,October,US
Friday,0.5,2022-10-14,4,10,October,EG
Friday,0.1,2022-10-14,4,10,October,GB
Friday,8.3,2022-10-14,4,10,October,IN
Wednesday,0.1,2022-10-19,2,10,October,IN
Thursday,0.4,2022-10-20,3,10,October,IN
Friday,0.2,2022-10-14,4,10,October,IN
Friday,19.1,2022-10-14,4,10,October,GB
Saturday,43.5,2022-10-15,5,10,October,GB
Sunday,36.3,2022-10-16,6,10,October,GB
Monday,32.3,2022-10-17,0,10,October,GB
Friday,28.2,2022-10-14,4,10,October,EG
Friday,0.2,2022-10-14,4,10,October,IN
Friday,0.3,2022-10-14,4,10,October,US
Monday,0.2,2022-10-17,0,10,October,US
Friday,2.8,2022-10-14,4,10,October,IN
Friday,0.1,2022-10-14,4,10,October,GB
Friday,0.4,2022-10-14,4,10,October,EG
Friday,4.3,2022-10-14,4,10,October,NG
Friday,0.6,2022-10-14,4,10,October,EG
Friday,0.9,2022-10-14,4,10,October,GB
Friday,4.3,2022-10-14,4,10,October,EG
Friday,7.0,2022-10-14,4,10,October,US
Saturday,5.2,2022-10-15,5,10,October,GB
Friday,0.1,2022-10-14,4,10,October,US
Saturday,12.3,2022-10-15,5,10,October,US
Saturday,0.3,2022-10-15,5,10,October,US
Saturday,26.6,2022-10-15,5,10,October,GB
Saturday,32.9,2022-10-15,5,10,October,IN
Sunday,38.5,2022-10-16,6,10,October,IN
Tuesday,35.8,2022-10-18,1,10,October,IN
Wednesday,37.4,2022-10-19,2,10,October,IN
Thursday,41.5,2022-10-20,3,10,October,IN
Saturday,1.8,2022-10-15,5,10,October,US
Saturday,16.0,2022-10-15,5,10,October,IN
Sunday,24.7,2022-10-16,6,10,October,IN
Monday,9.7,2022-10-17,0,10,October,IN
Tuesday,38.0,2022-10-18,1,10,October,IN
Wednesday,10.5,2022-10-19,2,10,October,IN
Saturday,2.5,2022-10-15,5,10,October,IN
Saturday,23.1,2022-10-15,5,10,October,IN
Saturday,0.1,2022-10-15,5,10,October,IN
Saturday,67.3,2022-10-15,5,10,October,IN
Sunday,22.0,2022-10-16,6,10,October,IN
Monday,5.2,2022-10-17,0,10,October,IN
Saturday,36.2,2022-10-15,5,10,October,US
Sunday,0.7,2022-10-16,6,10,October,US
Saturday,1.0,2022-10-15,5,10,October,US
Saturday,0.2,2022-10-15,5,10,October,IN
Saturday,0.1,2022-10-15,5,10,October,GB
Saturday,8.4,2022-10-15,5,10,October,GB
Saturday,6.8,2022-10-15,5,10,October,US
Saturday,1.9,2022-10-15,5,10,October,IN
Sunday,1.0,2022-10-16,6,10,October,US
Saturday,0.1,2022-10-15,5,10,October,US
Sunday,1.3,2022-10-16,6,10,October,EG
Saturday,0.1,2022-10-15,5,10,October,EG
Saturday,5.4,2022-10-15,5,10,October,US
Saturday,41.9,2022-10-15,5,10,October,IN
Saturday,32.6,2022-10-15,5,10,October,EG
Saturday,74.7,2022-10-15,5,10,October,US
Thursday,1.9,2022-10-20,3,10,October,US
Sunday,20.6,2022-10-16,6,10,October,US
Wednesday,0.1,2022-10-19,2,10,October,US
Sunday,0.7,2022-10-16,6,10,October,US
Sunday,0.4,2022-10-16,6,10,October,US
Sunday,0.1,2022-10-16,6,10,October,IN
Sunday,1.1,2022-10-16,6,10,October,IN
Tuesday,31.4,2022-10-18,1,10,October,IN
Sunday,12.3,2022-10-16,6,10,October,IN
Sunday,0.6,2022-10-16,6,10,October,GB
Sunday,9.8,2022-10-16,6,10,October,GB
Sunday,1.5,2022-10-16,6,10,October,NG
Monday,8.9,2022-10-17,0,10,October,NG
Sunday,34.9,2022-10-16,6,10,October,IN
Sunday,0.2,2022-10-16,6,10,October,IN
Sunday,0.2,2022-10-16,6,10,October,GB
Sunday,9.9,2022-10-16,6,10,October,US
Sunday,0.2,2022-10-16,6,10,October,IN
Sunday,1.1,2022-10-16,6,10,October,GB
Sunday,8.1,2022-10-16,6,10,October,IN
Sunday,0.2,2022-10-16,6,10,October,IN
Sunday,16.5,2022-10-16,6,10,October,IN
Monday,0.2,2022-10-17,0,10,October,IN
Sunday,17.9,2022-10-16,6,10,October,IN
Sunday,0.4,2022-10-16,6,10,October,IN
Sunday,0.5,2022-10-16,6,10,October,IN
Sunday,18.9,2022-10-16,6,10,October,US
Wednesday,73.7,2022-10-19,2,10,October,US
Thursday,74.9,2022-10-20,3,10,October,US
Sunday,13.2,2022-10-16,6,10,October,US
Monday,16.0,2022-10-17,0,10,October,US
Tuesday,8.5,2022-10-18,1,10,October,US
Sunday,1.8,2022-10-16,6,10,October,GB
Sunday,0.1,2022-10-16,6,10,October,IN
Monday,1.3,2022-10-17,0,10,October,IN
Sunday,5.8,2022-10-16,6,10,October,IN
Sunday,0.4,2022-10-16,6,10,October,GB
Wednesday,26.4,2022-10-19,2,10,October,GB
Sunday,23.4,2022-10-16,6,10,October,GB
Thursday,21.6,2022-10-20,3,10,October,GB
Sunday,17.1,2022-10-16,6,10,October,US
Sunday,13.7,2022-10-16,6,10,October,GB
Sunday,2.0,2022-10-16,6,10,October,GB
Sunday,0.1,2022-10-16,6,10,October,EG
Monday,0.1,2022-10-17,0,10,October,IN
Monday,3.6,2022-10-17,0,10,October,GB
Monday,95.6,2022-10-17,0,10,October,EG
Monday,0.1,2022-10-17,0,10,October,GB
Monday,82.8,2022-10-17,0,10,October,IN
Monday,0.5,2022-10-17,0,10,October,IN
Monday,1.6,2022-10-17,0,10,October,GB
Monday,20.1,2022-10-17,0,10,October,IN
Monday,0.1,2022-10-17,0,10,October,IN
Monday,10.3,2022-10-17,0,10,October,IN
Tuesday,0.1,2022-10-18,1,10,October,IN
Tuesday,16.4,2022-10-18,1,10,October,IN
Wednesday,0.1,2022-10-19,2,10,October,IN
Monday,0.1,2022-10-17,0,10,October,GB
Monday,3.0,2022-10-17,0,10,October,GB
Monday,0.1,2022-10-17,0,10,October,NG
Monday,5.6,2022-10-17,0,10,October,GB
Monday,0.1,2022-10-17,0,10,October,US
Monday,5.9,2022-10-17,0,10,October,IN
Monday,0.8,2022-10-17,0,10,October,IN
Monday,13.4,2022-10-17,0,10,October,IN
Monday,9.0,2022-10-17,0,10,October,IN
Tuesday,1.6,2022-10-18,1,10,October,IN
Monday,47.5,2022-10-17,0,10,October,IN
Tuesday,27.6,2022-10-18,1,10,October,IN
Monday,0.1,2022-10-17,0,10,October,GB
Tuesday,37.2,2022-10-18,1,10,October,GB
Wednesday,0.1,2022-10-19,2,10,October,GB
Monday,0.1,2022-10-17,0,10,October,GB
Monday,15.9,2022-10-17,0,10,October,IN
Monday,0.2,2022-10-17,0,10,October,IN
Monday,0.7,2022-10-17,0,10,October,EG
Thursday,0.6,2022-10-20,3,10,October,EG
Monday,2.8,2022-10-17,0,10,October,GB
Monday,0.1,2022-10-17,0,10,October,NG
Wednesday,7.3,2022-10-19,2,10,October,NG
Thursday,6.2,2022-10-20,3,10,October,NG
Monday,0.7,2022-10-17,0,10,October,US
Tuesday,186.3,2022-10-18,1,10,October,US
Wednesday,150.8,2022-10-19,2,10,October,US
Thursday,4.2,2022-10-20,3,10,October,US
Tuesday,10.2,2022-10-18,1,10,October,US
Wednesday,203.3,2022-10-19,2,10,October,US
Thursday,82.2,2022-10-20,3,10,October,US
Tuesday,212.7,2022-10-18,1,10,October,US
Tuesday,30.1,2022-10-18,1,10,October,US
Tuesday,2.5,2022-10-18,1,10,October,US
Tuesday,0.1,2022-10-18,1,10,October,IN
Tuesday,39.7,2022-10-18,1,10,October,US
Tuesday,1.0,2022-10-18,1,10,October,IN
Tuesday,0.7,2022-10-18,1,10,October,US
Tuesday,0.1,2022-10-18,1,10,October,IN
Tuesday,27.8,2022-10-18,1,10,October,IN
Tuesday,3.9,2022-10-18,1,10,October,GB
Tuesday,0.1,2022-10-18,1,10,October,IN
Tuesday,0.3,2022-10-18,1,10,October,IN
Tuesday,0.1,2022-10-18,1,10,October,EG
Tuesday,114.0,2022-10-18,1,10,October,GB
Tuesday,0.9,2022-10-18,1,10,October,EG
Tuesday,6.8,2022-10-18,1,10,October,US
Tuesday,6.6,2022-10-18,1,10,October,IN
Tuesday,9.6,2022-10-18,1,10,October,GB
Tuesday,3.4,2022-10-18,1,10,October,IN
Thursday,5.3,2022-10-20,3,10,October,NG
Tuesday,21.1,2022-10-18,1,10,October,GB
Tuesday,6.5,2022-10-18,1,10,October,IN
Tuesday,0.1,2022-10-18,1,10,October,IN
Tuesday,0.1,2022-10-18,1,10,October,US
Tuesday,3.0,2022-10-18,1,10,October,IN
Tuesday,0.2,2022-10-18,1,10,October,IN
Tuesday,38.7,2022-10-18,1,10,October,IN
Wednesday,3.7,2022-10-19,2,10,October,IN
Tuesday,135.7,2022-10-18,1,10,October,IN
Tuesday,0.6,2022-10-18,1,10,October,EG
Tuesday,2.0,2022-10-18,1,10,October,GB
Tuesday,2.0,2022-10-18,1,10,October,IN
Tuesday,1.9,2022-10-18,1,10,October,IN
Thursday,1.0,2022-10-20,3,10,October,IN
Tuesday,181.0,2022-10-18,1,10,October,US
Wednesday,29.5,2022-10-19,2,10,October,US
Tuesday,11.0,2022-10-18,1,10,October,IN
Wednesday,4.2,2022-10-19,2,10,October,IN
Tuesday,2.9,2022-10-18,1,10,October,US
Thursday,0.1,2022-10-20,3,10,October,EG
Tuesday,6.2,2022-10-18,1,10,October,EG
Wednesday,24.4,2022-10-19,2,10,October,EG
Tuesday,0.1,2022-10-18,1,10,October,GB
Tuesday,0.1,2022-10-18,1,10,October,US
Tuesday,2.8,2022-10-18,1,10,October,US
Wednesday,2.1,2022-10-19,2,10,October,US
Thursday,19.9,2022-10-20,3,10,October,US
Tuesday,10.5,2022-10-18,1,10,October,GB
Tuesday,0.5,2022-10-18,1,10,October,NG
Tuesday,1.0,2022-10-18,1,10,October,US
Wednesday,34.4,2022-10-19,2,10,October,GB
Thursday,10.6,2022-10-20,3,10,October,GB
Tuesday,0.2,2022-10-18,1,10,October,GB
Tuesday,10.7,2022-10-18,1,10,October,GB
Tuesday,14.8,2022-10-18,1,10,October,US
Thursday,42.1,2022-10-20,3,10,October,EG
Tuesday,50.0,2022-10-18,1,10,October,EG
Wednesday,12.1,2022-10-19,2,10,October,EG
Tuesday,2.8,2022-10-18,1,10,October,GB
Wednesday,0.7,2022-10-19,2,10,October,EG
Wednesday,5.9,2022-10-19,2,10,October,EG
Thursday,12.7,2022-10-20,3,10,October,IN
Wednesday,36.3,2022-10-19,2,10,October,IN
Wednesday,110.5,2022-10-19,2,10,October,US
Thursday,4.1,2022-10-20,3,10,October,US
Wednesday,39.9,2022-10-19,2,10,October,US
Wednesday,0.1,2022-10-19,2,10,October,IN
Wednesday,0.1,2022-10-19,2,10,October,US
Wednesday,0.2,2022-10-19,2,10,October,US
Wednesday,0.1,2022-10-19,2,10,October,US
Wednesday,11.3,2022-10-19,2,10,October,US
Thursday,13.5,2022-10-20,3,10,October,US
Wednesday,0.3,2022-10-19,2,10,October,GB
Wednesday,10.8,2022-10-19,2,10,October,IN
Wednesday,0.3,2022-10-19,2,10,October,IN
Wednesday,0.3,2022-10-19,2,10,October,IN
Wednesday,1.2,2022-10-19,2,10,October,US
Thursday,5.1,2022-10-20,3,10,October,US
Thursday,16.7,2022-10-20,3,10,October,US
Wednesday,3.0,2022-10-19,2,10,October,US
Wednesday,8.4,2022-10-19,2,10,October,IN
Wednesday,0.7,2022-10-19,2,10,October,IN
Wednesday,1.0,2022-10-19,2,10,October,US
Wednesday,41.0,2022-10-19,2,10,October,US
Wednesday,63.6,2022-10-19,2,10,October,US
Thursday,33.1,2022-10-20,3,10,October,US
Wednesday,71.1,2022-10-19,2,10,October,NG
Wednesday,13.8,2022-10-19,2,10,October,IN
Wednesday,0.7,2022-10-19,2,10,October,IN
Wednesday,0.2,2022-10-19,2,10,October,IN
Wednesday,1.3,2022-10-19,2,10,October,US
Wednesday,0.1,2022-10-19,2,10,October,GB
Wednesday,0.9,2022-10-19,2,10,October,US
Wednesday,0.4,2022-10-19,2,10,October,IN
Wednesday,40.0,2022-10-19,2,10,October,EG
Wednesday,0.4,2022-10-19,2,10,October,IN
Wednesday,0.7,2022-10-19,2,10,October,GB
Wednesday,0.1,2022-10-19,2,10,October,GB
Wednesday,0.2,2022-10-19,2,10,October,EG
Wednesday,6.1,2022-10-19,2,10,October,GB
Wednesday,0.2,2022-10-19,2,10,October,GB
Wednesday,0.1,2022-10-19,2,10,October,GB
Thursday,0.2,2022-10-20,3,10,October,US
Thursday,104.4,2022-10-20,3,10,October,US
Thursday,0.4,2022-10-20,3,10,October,IN
Thursday,214.6,2022-10-20,3,10,October,IN
Thursday,24.2,2022-10-20,3,10,October,US
Thursday,150.9,2022-10-20,3,10,October,US
Thursday,0.1,2022-10-20,3,10,October,EG
Thursday,2.6,2022-10-20,3,10,October,IN
Thursday,7.5,2022-10-20,3,10,October,IN
Thursday,59.6,2022-10-20,3,10,October,EG
Thursday,32.9,2022-10-20,3,10,October,US
Thursday,0.2,2022-10-20,3,10,October,EG
Thursday,3.3,2022-10-20,3,10,October,GB
Thursday,9.7,2022-10-20,3,10,October,GB
Thursday,11.4,2022-10-20,3,10,October,NG
Thursday,0.6,2022-10-20,3,10,October,GB
Thursday,0.7,2022-10-20,3,10,October,IN
Thursday,0.2,2022-10-20,3,10,October,IN
Thursday,1.2,2022-10-20,3,10,October,IN
Thursday,11.9,2022-10-20,3,10,October,IN
Thursday,0.1,2022-10-20,3,10,October,IN
Thursday,18.9,2022-10-20,3,10,October,IN
Thursday,13.0,2022-10-20,3,10,October,IN
Thursday,7.9,2022-10-20,3,10,October,EG
Thursday,42.7,2022-10-20,3,10,October,IN
Thursday,0.8,2022-10-20,3,10,October,EG
Thursday,0.1,2022-10-20,3,10,October,IN
Friday,12.9,2022-04-01,4,4,April,Other
Monday,46.8,2022-01-03,0,1,January,Other
Tuesday,4.3,2022-01-04,1,1,January,Other
Friday,31.7,2022-01-07,4,1,January,Other
Wednesday,61.6,2022-01-05,2,1,January,Other
Thursday,45.1,2022-01-06,3,1,January,Other
Monday,0.5,2022-02-21,0,2,February,Other
Tuesday,1.1,2022-02-22,1,2,February,Other
Friday,4.0,2022-01-28,4,1,January,Other
Monday,2.1,2022-03-14,0,3,March,Other
Monday,34.7,2022-01-10,0,1,January,Other
Wednesday,6.9,2022-02-23,2,2,February,Other
Tuesday,7.1,2022-01-11,1,1,January,Other
Thursday,7.6,2022-05-12,3,5,May,Other
Thursday,13.1,2022-01-13,3,1,January,Other
Saturday,21.3,2022-01-15,5,1,January,Other
Sunday,9.4,2022-01-16,6,1,January,Other
Saturday,5.2,2022-01-22,5,1,January,Other
Sunday,30.6,2022-01-23,6,1,January,Other
Thursday,0.7,2022-05-26,3,5,May,Other
Friday,44.0,2022-05-27,4,5,May,Other
Monday,1.5,2022-05-30,0,5,May,Other
Monday,46.1,2022-03-28,0,3,March,Other
Tuesday,0.3,2022-06-28,1,6,June,Other
Friday,0.1,2022-03-25,4,3,March,Other
Friday,34.2,2022-02-25,4,2,February,Other
Saturday,32.6,2022-02-26,5,2,February,Other
Sunday,23.0,2022-02-27,6,2,February,Other
Sunday,2.7,2022-01-02,6,1,January,Other
Saturday,14.2,2022-01-01,5,1,January,Other
Saturday,4.1,2022-01-01,5,1,January,Other
Sunday,9.2,2022-01-02,6,1,January,Other
Tuesday,40.0,2022-01-04,1,1,January,Other
Tuesday,16.8,2022-01-04,1,1,January,Other
Saturday,1.7,2022-01-01,5,1,January,Other
Saturday,19.9,2022-01-08,5,1,January,Other
Thursday,3.5,2022-01-13,3,1,January,Other
Saturday,2.1,2022-01-01,5,1,January,Other
Saturday,0.8,2022-01-01,5,1,January,Other
Saturday,6.6,2022-01-01,5,1,January,Other
Saturday,0.3,2022-01-01,5,1,January,Other
Sunday,12.5,2022-01-02,6,1,January,Other
Saturday,0.9,2022-01-01,5,1,January,Other
Saturday,0.1,2022-01-01,5,1,January,Other
Sunday,30.5,2022-01-02,6,1,January,Other
Saturday,4.2,2022-01-08,5,1,January,Other
Saturday,1.0,2022-01-29,5,1,January,Other
Tuesday,40.9,2022-01-04,1,1,January,Other
Saturday,1.2,2022-01-01,5,1,January,Other
Saturday,0.2,2022-01-01,5,1,January,Other
Sunday,0.4,2022-01-02,6,1,January,Other
Wednesday,39.2,2022-01-26,2,1,January,Other
Friday,24.6,2022-01-28,4,1,January,Other
Tuesday,29.2,2022-02-01,1,2,February,Other
Saturday,42.1,2022-02-12,5,2,February,Other
Friday,40.0,2022-02-04,4,2,February,Other
Tuesday,474.6,2022-08-16,1,8,August,Other
Wednesday,176.3,2022-08-17,2,8,August,Other
Thursday,81.1,2022-08-18,3,8,August,Other
Tuesday,31.4,2022-02-15,1,2,February,Other
Monday,226.1,2022-08-15,0,8,August,Other
Saturday,48.4,2022-01-08,5,1,January,Other
Sunday,14.5,2022-01-09,6,1,January,Other
Wednesday,19.5,2022-03-02,2,3,March,Other
Saturday,11.8,2022-04-23,5,4,April,Other
Saturday,36.4,2022-08-06,5,8,August,Other
Thursday,27.3,2022-01-13,3,1,January,Other
Friday,16.7,2022-01-14,4,1,January,Other
Monday,30.0,2022-01-17,0,1,January,Other
Tuesday,24.6,2022-01-18,1,1,January,Other
Monday,32.7,2022-01-10,0,1,January,Other
Sunday,105.6,2022-08-14,6,8,August,Other
Friday,22.9,2022-01-21,4,1,January,Other
Saturday,1.2,2022-01-01,5,1,January,Other
Saturday,0.1,2022-01-01,5,1,January,Other
Saturday,6.6,2022-01-01,5,1,January,Other
Saturday,0.1,2022-01-01,5,1,January,Other
Saturday,0.8,2022-01-01,5,1,January,Other
Saturday,12.2,2022-01-01,5,1,January,Other
Saturday,40.5,2022-01-01,5,1,January,Other
Sunday,67.6,2022-01-02,6,1,January,Other
Tuesday,46.2,2022-08-23,1,8,August,Other
Monday,20.4,2022-01-03,0,1,January,Other
Friday,31.0,2022-01-07,4,1,January,Other
Thursday,20.1,2022-01-13,3,1,January,Other
Wednesday,39.0,2022-08-24,2,8,August,Other
Saturday,43.8,2022-01-15,5,1,January,Other
Thursday,38.9,2022-08-25,3,8,August,Other
Tuesday,14.8,2022-01-18,1,1,January,Other
Wednesday,21.1,2022-01-19,2,1,January,Other
Friday,1.3,2022-08-26,4,8,August,Other
Saturday,26.7,2022-08-27,5,8,August,Other
Thursday,7.4,2022-01-20,3,1,January,Other
Monday,21.7,2022-08-08,0,8,August,Other
Sunday,29.5,2022-08-28,6,8,August,Other
Tuesday,10.8,2022-08-30,1,8,August,Other
Tuesday,58.5,2022-09-06,1,9,September,Other
Wednesday,13.6,2022-09-07,2,9,September,Other
Thursday,45.9,2022-09-08,3,9,September,Other
Friday,40.7,2022-09-09,4,9,September,Other
Saturday,67.5,2022-01-01,5,1,January,Other
Sunday,32.6,2022-01-02,6,1,January,Other
Wednesday,41.8,2022-01-05,2,1,January,Other
Tuesday,34.2,2022-01-11,1,1,January,Other
Thursday,33.0,2022-01-06,3,1,January,Other
Wednesday,23.7,2022-01-12,2,1,January,Other
Saturday,12.6,2022-01-15,5,1,January,Other
Thursday,20.2,2022-01-20,3,1,January,Other
Saturday,9.7,2022-01-22,5,1,January,Other
Tuesday,25.7,2022-02-01,1,2,February,Other
Monday,3.3,2022-02-07,0,2,February,Other
Friday,0.1,2022-03-25,4,3,March,Other
Monday,10.1,2022-01-03,0,1,January,Other
Thursday,4.0,2022-09-22,3,9,September,Other
Saturday,1.2,2022-01-01,5,1,January,Other
Saturday,2.2,2022-01-01,5,1,January,Other
Monday,63.8,2022-01-03,0,1,January,Other
Monday,27.4,2022-01-03,0,1,January,Other
Wednesday,11.8,2022-01-12,2,1,January,Other
Thursday,6.6,2022-01-13,3,1,January,Other
Saturday,14.9,2022-01-01,5,1,January,Other
Sunday,12.9,2022-01-02,6,1,January,Other
Sunday,110.0,2022-01-02,6,1,January,Other
Saturday,23.7,2022-01-08,5,1,January,Other
Saturday,1.2,2022-01-29,5,1,January,Other
Saturday,56.4,2022-01-08,5,1,January,Other
Tuesday,4.5,2022-01-04,1,1,January,Other
Friday,12.3,2022-01-07,4,1,January,Other
Saturday,41.0,2022-01-01,5,1,January,Other
Tuesday,20.7,2022-01-04,1,1,January,Other
Monday,0.1,2022-01-03,0,1,January,Other
Saturday,1.2,2022-01-01,5,1,January,Other
Saturday,2.0,2022-01-01,5,1,January,Other
Monday,5.4,2022-01-31,0,1,January,Other
Sunday,3.8,2022-04-10,6,4,April,Other
Sunday,25.3,2022-01-02,6,1,January,Other
Friday,0.1,2022-04-29,4,4,April,Other
Sunday,48.1,2022-01-02,6,1,January,Other
Monday,82.6,2022-01-03,0,1,January,Other
Sunday,18.0,2022-01-09,6,1,January,Other
Monday,28.4,2022-01-10,0,1,January,Other
Wednesday,19.1,2022-01-12,2,1,January,Other
Saturday,22.8,2022-01-01,5,1,January,Other
Sunday,2.8,2022-01-02,6,1,January,Other
Thursday,6.6,2022-01-06,3,1,January,Other
Thursday,3.3,2022-06-23,3,6,June,Other
Wednesday,30.7,2022-07-27,2,7,July,Other
Wednesday,26.5,2022-04-13,2,4,April,Other
Thursday,67.7,2022-04-14,3,4,April,Other
Thursday,66.4,2022-10-20,3,10,October,Other
Friday,61.8,2022-09-16,4,9,September,Other
Saturday,47.4,2022-09-17,5,9,September,Other
Tuesday,4.9,2022-09-06,1,9,September,Other
Monday,14.3,2022-08-29,0,8,August,Other
Tuesday,82.2,2022-08-30,1,8,August,Other
Tuesday,35.3,2022-09-13,1,9,September,Other
Sunday,65.3,2022-01-02,6,1,January,Other
Sunday,6.7,2022-01-02,6,1,January,Other
Sunday,11.1,2022-02-20,6,2,February,Other
Monday,11.2,2022-02-21,0,2,February,Other
Tuesday,51.1,2022-02-22,1,2,February,Other
Wednesday,7.6,2022-02-23,2,2,February,Other
Friday,5.3,2022-03-04,4,3,March,Other
Sunday,4.1,2022-03-13,6,3,March,Other
Sunday,8.4,2022-07-24,6,7,July,Other
Monday,9.0,2022-08-01,0,8,August,Other
Tuesday,10.5,2022-08-02,1,8,August,Other
Sunday,16.9,2022-08-28,6,8,August,Other
Friday,19.3,2022-02-18,4,2,February,Other
Tuesday,22.5,2022-07-19,1,7,July,Other
Saturday,13.6,2022-02-19,5,2,February,Other
Sunday,3.5,2022-01-02,6,1,January,Other
Sunday,7.6,2022-06-26,6,6,June,Other
Sunday,3.4,2022-01-02,6,1,January,Other
Monday,41.7,2022-01-03,0,1,January,Other
Tuesday,66.4,2022-01-04,1,1,January,Other
Wednesday,16.8,2022-01-05,2,1,January,Other
Friday,50.4,2022-01-07,4,1,January,Other
Tuesday,29.5,2022-06-07,1,6,June,Other
Wednesday,64.4,2022-06-08,2,6,June,Other
Wednesday,31.7,2022-01-12,2,1,January,Other
Thursday,31.0,2022-01-13,3,1,January,Other
Friday,53.9,2022-01-14,4,1,January,Other
Tuesday,21.5,2022-01-18,1,1,January,Other
Wednesday,1.3,2022-01-19,2,1,January,Other
Sunday,51.6,2022-01-02,6,1,January,Other
Thursday,3.6,2022-01-06,3,1,January,Other
Sunday,3.4,2022-01-02,6,1,January,Other
Sunday,2.8,2022-01-02,6,1,January,Other
Monday,33.9,2022-01-03,0,1,January,Other
Sunday,61.0,2022-01-02,6,1,January,Other
Wednesday,9.3,2022-01-05,2,1,January,Other
Sunday,7.2,2022-01-09,6,1,January,Other
Monday,18.1,2022-01-10,0,1,January,Other
Tuesday,8.9,2022-01-11,1,1,January,Other
Wednesday,32.6,2022-01-12,2,1,January,Other
Saturday,7.7,2022-02-12,5,2,February,Other
Thursday,4.4,2022-01-27,3,1,January,Other
Sunday,11.7,2022-02-20,6,2,February,Other
Thursday,0.3,2022-06-16,3,6,June,Other
Monday,3.2,2022-02-21,0,2,February,Other
Saturday,24.6,2022-02-05,5,2,February,Other
Sunday,18.9,2022-02-06,6,2,February,Other
Friday,23.9,2022-01-14,4,1,January,Other
Saturday,3.7,2022-01-15,5,1,January,Other
Sunday,67.9,2022-01-16,6,1,January,Other
Tuesday,5.8,2022-01-18,1,1,January,Other
Sunday,4.7,2022-01-23,6,1,January,Other
Friday,22.0,2022-02-04,4,2,February,Other
Monday,0.3,2022-01-03,0,1,January,Other
Sunday,20.9,2022-01-02,6,1,January,Other
Sunday,0.2,2022-01-02,6,1,January,Other
Monday,1.3,2022-01-03,0,1,January,Other
Sunday,51.1,2022-01-09,6,1,January,Other
Monday,57.0,2022-01-10,0,1,January,Other
Thursday,4.7,2022-09-22,3,9,September,Other
Sunday,0.1,2022-01-02,6,1,January,Other
Wednesday,3.4,2022-09-21,2,9,September,Other
Wednesday,64.8,2022-01-12,2,1,January,Other
Thursday,50.8,2022-01-13,3,1,January,Other
Wednesday,31.9,2022-02-09,2,2,February,Other
Monday,20.6,2022-02-07,0,2,February,Other
Tuesday,54.3,2022-02-08,1,2,February,Other
Sunday,0.1,2022-01-02,6,1,January,Other
Monday,34.7,2022-01-03,0,1,January,Other
Tuesday,37.7,2022-01-04,1,1,January,Other
Thursday,11.1,2022-01-06,3,1,January,Other
Friday,56.7,2022-01-07,4,1,January,Other
Wednesday,29.3,2022-03-30,2,3,March,Other
Thursday,0.1,2022-03-31,3,3,March,Other
Thursday,25.7,2022-04-07,3,4,April,Other
Monday,28.3,2022-07-04,0,7,July,Other
Saturday,7.1,2022-01-08,5,1,January,Other
Monday,30.8,2022-01-10,0,1,January,Other
Tuesday,50.0,2022-01-11,1,1,January,Other
Sunday,6.5,2022-05-29,6,5,May,Other
Friday,11.9,2022-06-24,4,6,June,Other
Monday,17.6,2022-06-27,0,6,June,Other
Saturday,0.3,2022-04-09,5,4,April,Other
Monday,11.2,2022-04-11,0,4,April,Other
Tuesday,16.2,2022-05-31,1,5,May,Other
Wednesday,39.7,2022-06-01,2,6,June,Other
Sunday,19.8,2022-01-02,6,1,January,Other
Wednesday,0.3,2022-01-05,2,1,January,Other
Sunday,5.6,2022-01-02,6,1,January,Other
Sunday,0.3,2022-01-02,6,1,January,Other
Tuesday,10.5,2022-01-04,1,1,January,Other
Thursday,13.2,2022-01-06,3,1,January,Other
Sunday,15.5,2022-01-16,6,1,January,Other
Sunday,0.3,2022-01-02,6,1,January,Other
